time_h,Gas_profileA,
0,0.564273205,211.6024518
1,0.530297723,198.8616462
2,0.505078809,189.4045534
3,0.536602452,201.2259194
4,0.545008757,204.3782837
5,0.566024518,212.2591944
6,0.670753065,251.5323993
7,0.795796848,298.4238179
8,0.977232925,366.4623468
9,1,375
10,0.950963222,356.6112084
11,0.878809107,329.5534151
12,0.797898424,299.2119089
13,0.775131349,290.6742557
14,0.761471103,285.5516637
15,0.753765324,282.6619965
16,0.761821366,285.6830123
17,0.712084063,267.0315236
18,0.692119089,259.5446585
19,0.650087566,243.7828371
20,0.628721541,235.7705779
21,0.628721541,235.7705779
22,0.614360771,230.385289
23,0.530647986,198.9929947
