time_h,Gas_profileA
0,0.595571034
0.25,0.619948697
0.5,0.613316224
0.75,0.607549292
1,0.595972909
1.25,0.592357813
1.5,0.583411937
1.75,0.601087924
2,0.606626475
2.25,0.614583104
2.5,0.612948001
2.75,0.618340017
3,0.617210151
3.25,0.628891317
3.5,0.625905747
3.75,0.635599724
4,0.637877864
4.25,0.645788425
4.5,0.659946247
4.75,0.667040178
5,0.692557736
5.25,0.696434464
5.5,0.707594365
5.75,0.716096561
6,0.777574817
6.25,0.846907355
6.5,0.865234474
6.75,0.876691881
7,0.918298731
7.25,0.95315946
7.5,0.960732445
7.75,0.974507802
8,0.993463748
8.25,1
8.5,0.994845712
8.75,0.98860219
9,0.974422084
9.25,0.966809767
9.5,0.977849915
9.75,0.966686476
10,0.96239113
10.25,0.946877545
10.5,0.938810276
10.75,0.916659511
11,0.904055451
11.25,0.874085898
11.5,0.887399508
11.75,0.88541164
12,0.875505196
12.25,0.834509346
12.5,0.809554382
12.75,0.797737393
13,0.781925683
13.25,0.779725508
13.5,0.773218355
13.75,0.764966979
14,0.766892132
14.25,0.755228714
14.5,0.746668679
14.75,0.736687429
15,0.717883394
15.25,0.692117394
15.5,0.671466909
15.75,0.665712674
16,0.654033846
16.25,0.640052857
16.5,0.633472337
16.75,0.633386179
17,0.636930166
17.25,0.638565928
17.5,0.637913218
17.75,0.634274839
18,0.635274419
18.25,0.64568444
18.5,0.632965842
18.75,0.629673114
19,0.676665624
19.25,0.664005384
19.5,0.597840243
19.75,0.574328619
20,0.580530312
20.25,0.582109895
20.5,0.563605703
20.75,0.558242646
21,0.550108126
21.25,0.5478395
21.5,0.53807965
21.75,0.515156122
22,0.506249378
22.25,0.511128004
22.5,0.505851105
22.75,0.489431293
23,0.500677952
23.25,0.491832483
23.5,0.484999085
23.75,0.472805328
