Time,EL_profileA
1,0.724126935
2,0.720845617
3,0.718634953
4,0.720583335
5,0.712370474
6,0.710822291
7,0.704000561
8,0.692824469
9,0.693660743
10,0.683985797
11,0.685786695
12,0.683391875
13,0.685526805
14,0.678499395
15,0.682766863
16,0.674525301
17,0.675961077
18,0.684689734
19,0.674447175
20,0.684466516
21,0.717945365
22,0.723864653
23,0.742906023
24,0.746551667
25,0.799110155
26,0.821741363
27,0.847895444
28,0.86448619
29,0.879127757
30,0.905231614
31,0.922444981
32,0.927849271
33,0.931663125
34,0.939887147
35,0.946757506
36,0.967859666
37,0.967060861
38,0.965326131
39,0.963914272
40,0.957851487
41,0.954275201
42,0.940319235
43,0.950891839
44,0.933620276
45,0.921398244
46,0.916119116
47,0.917788475
48,0.914137251
49,0.909627432
50,0.898849147
51,0.888658407
52,0.890608383
53,0.894206194
54,0.875427105
55,0.877782066
56,0.873236372
57,0.864786738
58,0.86185141
59,0.870802489
60,0.867453408
61,0.856550758
62,0.849562412
63,0.855549462
64,0.853235957
65,0.870278721
66,0.870720376
67,0.867673437
68,0.885229605
69,0.906797336
70,0.928982106
71,0.945274695
72,0.973688071
73,0.992102835
74,1
75,0.996531338
76,0.990659883
77,0.971333908
78,0.971138593
79,0.950005342
80,0.950051581
81,0.936353113
82,0.920146624
83,0.905379895
84,0.895791845
85,0.880585854
86,0.871265668
87,0.857031475
88,0.844885178
89,0.84933122
90,0.849619013
91,0.847450602
92,0.851530725
93,0.851995498
94,0.844843723
95,0.828256167
96,0.818408226
