Hour,Wind_OFF,Wind_ON,Wind_NO
1,0.961348713,0.739259259,0.001
2,0.961237799,0.738024691,0.001
3,0.961193434,0.732592593,0.001
4,0.961113576,0.724691358,0.001
5,0.961064774,0.714567901,0.001
6,0.961144632,0.70345679,0.001
7,0.960967169,0.692098765,0.001
8,0.960949423,0.677037037,0.001
9,0.960958296,0.659259259,0.001
10,0.96094055,0.643209877,0.001
11,0.960958296,0.62962963,0.001
12,0.960998225,0.614814815,0.001
13,0.960874002,0.598765432,0.001
14,0.960479148,0.584691358,0.001
15,0.960150843,0.572592593,0.001
16,0.959764862,0.561481481,0.001
17,0.958447205,0.55382716,0.001
18,0.95554126,0.544444444,0.001
19,0.953451642,0.532345679,0.001
20,0.94796362,0.521481481,0.001
21,0.943070098,0.510864198,0.001
22,0.93636646,0.498518519,0.001
23,0.928806566,0.485432099,0.001
24,0.918779947,0.470864198,0.001
25,0.904618456,0.455802469,0.001
26,0.894645075,0.440740741,0.001
27,0.885612245,0.425432099,0.001
28,0.873611358,0.408395062,0.001
29,0.853207631,0.387160494,0.001
30,0.833704525,0.371604938,0.001
31,0.812972493,0.358271605,0.001
32,0.786193434,0.344691358,0.001
33,0.757324756,0.332592593,0.001
34,0.735417036,0.322469136,0.001
35,0.710767524,0.311111111,0.001
36,0.677768412,0.303950617,0.001
37,0.653110027,0.304938272,0.001
38,0.638513753,0.296296296,0.001
39,0.621703638,0.283209877,0.001
40,0.605563443,0.264197531,0.001
41,0.586938776,0.230617284,0.001
42,0.55755102,0.211851852,0.001
43,0.526947649,0.201481481,0.001
44,0.497107365,0.196790123,0.001
45,0.470288376,0.199753086,0.001
46,0.45243567,0.199753086,0.001
47,0.434152618,0.198518519,0.001
48,0.41676575,0.199012346,0.001
49,0.403034605,0.202469136,0.001
50,0.401490683,0.204938272,0.001
51,0.398952972,0.206666667,0.001
52,0.398908607,0.209876543,0.001
53,0.402045253,0.215061728,0.001
54,0.413673469,0.217530864,0.001
55,0.426969831,0.22,0.001
56,0.439228039,0.222716049,0.001
57,0.452018634,0.225185185,0.001
58,0.463265306,0.226666667,0.001
59,0.471677019,0.225679012,0.001
60,0.4818811,0.222962963,0.001
61,0.491073647,0.21654321,0.001
62,0.506104703,0.211851852,0.001
63,0.515612245,0.209382716,0.001
64,0.523797693,0.203950617,0.001
65,0.536850044,0.194074074,0.001
66,0.563318545,0.191851852,0.001
67,0.590678793,0.19382716,0.001
68,0.616073647,0.199753086,0.001
69,0.641180124,0.214320988,0.001
70,0.675252884,0.222716049,0.001
71,0.699653949,0.23037037,0.001
72,0.722262644,0.23654321,0.001
73,0.741157941,0.240740741,0.001
74,0.761943212,0.248888889,0.001
75,0.776406389,0.257530864,0.001
76,0.795346051,0.271111111,0.001
77,0.809591837,0.290123457,0.001
78,0.828110027,0.303209877,0.001
79,0.846521739,0.312098765,0.001
80,0.859596273,0.319753086,0.001
81,0.868447205,0.322716049,0.001
82,0.887311446,0.328395062,0.001
83,0.894356699,0.334567901,0.001
84,0.90257764,0.340740741,0.001
85,0.910545697,0.346419753,0.001
86,0.914299024,0.351358025,0.001
87,0.918571429,0.358024691,0.001
88,0.922005324,0.363209877,0.001
89,0.925408163,0.367407407,0.001
90,0.927027507,0.373333333,0.001
91,0.928708962,0.380493827,0.001
92,0.930980479,0.391111111,0.001
93,0.933256433,0.40691358,0.001
94,0.934831411,0.415802469,0.001
95,0.935891748,0.419012346,0.001
96,0.936659272,0.422222222,0.001
