Line_num,Start,Stop,X_pu,Capacity_MW
1,1,2,0.0146,175
2,1,3,0.2253,175
3,1,5,0.0907,350
4,2,4,0.1356,175
5,2,6,0.205,175
6,3,9,0.1271,175
7,3,24,0.084,400
8,4,9,0.111,175
9,5,10,0.094,350
10,6,10,0.0642,175
11,7,8,0.0652,350
12,8,9,0.1762,175
13,8,10,0.1762,175
14,9,11,0.084,400
15,9,12,0.084,400
16,10,11,0.084,400
17,10,12,0.084,400
18,11,13,0.0488,500
19,11,14,0.0426,500
20,12,13,0.0488,500
21,12,23,0.0985,500
22,13,23,0.0884,250
23,14,16,0.0594,250
24,15,16,0.0172,500
25,15,21,0.0249,400
26,15,24,0.0529,500
27,16,17,0.0263,500
28,16,19,0.0234,500
29,17,18,0.0143,500
30,17,22,0.1069,500
31,18,21,0.0132,1000
32,19,20,0.0203,1000
33,20,23,0.0112,1000
34,21,22,0.0692,500
